-,-,-
26.855469, -62.255859, 943.359375
0.488281, -6.591797, 958.007812
-6.103516, -47.607422, 961.914062
-37.841797, -53.466797, 1083.984375
-41.748047, -68.115234, 1039.062500
-40.283203, -94.970703, 1067.382812
-66.650391, -91.552734, 1033.203125
-41.259766, -153.076172, 1041.015625
-77.880859, -128.662109, 1085.937500
-63.720703, -163.818359, 1104.492188
-80.810547, -162.841797, 1128.417969
-52.001953, -148.193359, 1083.007812
-40.771484, -168.212891, 1125.976562
-18.310547, -160.888672, 1109.375000
-8.056641, -192.626953, 1097.656250
-,-,-
-27.587891, 49.316406, 933.593750
-8.544922, 66.406250, 926.757812
0.488281, 60.546875, 929.687500
17.089844, 70.800781, 950.195312
24.414062, 83.007812, 934.570312
37.109375, 51.757812, 961.914062
28.320312, 85.937500, 913.085938
25.390625, 52.734375, 898.437500
41.015625, 63.476562, 919.921875
11.230469, 48.828125, 946.289062
36.132812, 26.367188, 940.429688
5.371094, 34.179688, 971.679688
50.292969, 46.386719, 1032.226562
11.718750, -30.029297, 950.195312
-7.568359, 1.464844, 1010.742188
-12.451172, -44.677734, 974.609375
-29.052734, -15.380859, 970.703125
-27.099609, -14.404297, 967.773438
-1.220703, -36.865234, 962.890625
-47.607422, -30.029297, 1024.414062
22.949219, -71.044922, 1084.960938
-20.751953, -56.396484, 1027.343750
-5.126953, -67.138672, 1004.882812
-33.935547, -102.294922, 973.632812
-35.888672, -107.177734, 1062.500000
-31.005859, -147.216797, 997.070312
-38.818359, -137.939453, 1012.207031
-31.982422, -140.380859, 1042.968750
-48.583984, -142.333984, 1069.335938
-45.654297, -168.212891, 1133.300781
-56.884766, -141.845703, 1072.265625
-42.724609, -143.798828, 1116.210938
-54.931641, -169.677734, 1101.562500
-44.189453, -152.099609, 1077.148438
-,-,-
-44.189453, -151.123047, 968.750000
-63.232422, -156.005859, 960.937500
-32.470703, -144.775391, 974.609375
-39.794922, -156.005859, 1098.632812
-34.423828, -170.654297, 1146.484375
-45.166016, -166.259766, 1152.343750
-78.369141, -181.396484, 1139.648438
-46.630859, -187.744141, 1109.375000
-51.513672, -148.193359, 1077.148438
-30.029297, -163.818359, 1045.898438
-56.884766, -135.498047, 1008.300781
-17.822266, -114.013672, 948.242188
-45.654297, -79.833984, 1019.531250
-51.025391, -96.923828, 1131.347656
-50.048828, -78.857422, 1057.617188
-39.306641, -90.576172, 1050.781250
-23.681641, -72.509766, 1037.109375
-33.447266, -62.255859, 993.164062
-31.982422, -67.138672, 980.468750
-21.728516, -56.396484, 945.312500
-14.404297, -36.865234, 945.312500
-15.380859, -4.638672, 935.546875
-15.869141, 6.835938, 919.921875
-2.685547, 26.367188, 910.156250
-8.544922, 50.292969, 888.671875
-21.728516, 22.460938, 841.796875
-25.146484, 32.226562, 919.921875
-31.494141, 44.921875, 848.632812
-28.564453, 69.335938, 929.687500
-10.009766, 67.382812, 857.421875
-27.587891, 22.949219, 963.867188
-41.748047, 27.343750, 911.132812
-60.302734, 2.441406, 957.031250
-,-,-
-78.369141, -159.912109, 1186.523438
-78.857422, -140.380859, 1128.906250
-68.603516, -194.580078, 1070.312500
-74.951172, -171.142578, 1113.281250
-69.580078, -178.466797, 1102.539062
-63.232422, -154.052734, 1126.953125
-74.462891, -171.630859, 1088.867188
-22.216797, -111.572266, 985.351562
-76.904297, -111.083984, 1011.718750
-79.345703, -83.740234, 958.984375
-67.138672, -56.396484, 950.195312
-74.951172, -24.658203, 938.476562
